query_group,mode,query_mode_count,precision_at_10,avg_relevance,dcg_at_10,ndcg_at_10,mrr_at_10,latency_ms
combined,qdrant_keyword,6,1.0,1.6166666666666665,10.17001104961354,0.9445865894103024,1.0,544.0773833349036
combined,qdrant_keyword_object,5,1.0,1.8199999999999998,11.990310969997493,0.9507839317039878,1.0,515.2687999943737
combined,qdrant_object,5,1.0,1.8199999999999998,11.990310969997493,0.9507839317039878,1.0,324.97350000194274
combined,qdrant_object_rerank,6,1.0,1.6833333333333333,10.749185698012637,0.9589866097533232,1.0,111.19211666664341
combined,qdrant_semantic,6,1.0,1.5333333333333332,9.615930189613847,0.9483567156509443,1.0,107.14286666673918
object_like,qdrant_keyword,6,1.0,1.6666666666666667,10.817333741041525,0.9753085294790739,1.0,502.5053999973655
object_like,qdrant_keyword_object,5,1.0,2.0,13.630678014265039,1.0,1.0,513.9108599978499
object_like,qdrant_object,5,1.0,2.0,13.630678014265039,1.0,1.0,326.5601400024025
object_like,qdrant_object_rerank,6,1.0,1.8333333333333333,12.116158234902256,1.0,1.0,128.8180166714786
object_like,qdrant_semantic,6,0.9166666666666666,1.5,9.812466698745153,0.9551525915154175,1.0,108.44801666341179
