query,mode,filter_value,result_count,top1_image_id,top1_score,avg_score,avg_brightness,avg_warmth
warm cinematic landscape,semantic_only,,10,YAt2KX0JVdE,0.26736483057980953,0.2618918366136132,0.3579755067893199,0.5002066571684416
warm cinematic landscape,keyword_filter,nature,10,YAt2KX0JVdE,0.26736483057980953,0.2618918366136132,0.3579755067893199,0.5002066571684416
warm cinematic landscape,style_filter,min_warmth=0.55,10,frCSu-B5Mxg,0.25491776534594135,0.24666769878388828,0.4552547120530255,0.5953107233123173
warm cinematic landscape,rerank,style_rerank,10,fHK6kIQmtTw,0.3748250800885811,0.36525734663568526,0.4748150059481674,0.5411707391035969
dark moody forest,semantic_only,,10,odfhHtD3igY,0.30521474927758246,0.2946704052912572,0.27298506665220484,0.4922739679223686
dark moody forest,keyword_filter,nature,10,odfhHtD3igY,0.30521474927758246,0.2946704052912572,0.27298506665220484,0.4922739679223686
dark moody forest,style_filter,max_brightness=0.4,10,odfhHtD3igY,0.30521474927758246,0.2935047350617474,0.2659563053676324,0.4889071660834146
dark moody forest,rerank,style_rerank,10,hjGJFIXW8QM,0.4061191362824238,0.3965891759424963,0.28141841517749017,0.4959018094732336
street photography,semantic_only,,10,fi9PSKk7UyE,0.2586757267136368,0.2484452421189617,0.3667578492041793,0.5251703632906134
street photography,keyword_filter,person,10,8sbwihARadA,0.24880185795093485,0.2395915736659989,0.445545961595659,0.5134501034110135
street photography,style_filter,max_brightness=0.5,10,fi9PSKk7UyE,0.2586757267136368,0.2469456233026007,0.33815000011876634,0.5279238834133778
street photography,rerank,style_rerank,10,fi9PSKk7UyE,0.2586757267136368,0.2484452421189617,0.3667578492041793,0.5251703632906134
portrait,semantic_only,,10,Jr_DkO3Ow14,0.26570669082792614,0.25047107570962834,0.3890497319851225,0.5150761772979268
portrait,keyword_filter,person,10,dwXKJSwJe7Q,0.2473121277106991,0.22904045728304295,0.48067281637851467,0.5337127214324335
portrait,style_filter,min_warmth=0.45,10,Jr_DkO3Ow14,0.26570669082792614,0.25047107570962834,0.3890497319851225,0.5150761772979268
portrait,rerank,style_rerank,10,Jr_DkO3Ow14,0.26570669082792614,0.25047107570962834,0.3890497319851225,0.5150761772979268
beach sunset,semantic_only,,10,JTEi1fWSygE,0.2854854469740822,0.27434104800430253,0.36818980408620433,0.5571482023453622
beach sunset,keyword_filter,water,10,JTEi1fWSygE,0.2854854469740822,0.2724834236535771,0.41751364479846875,0.5567206220392944
beach sunset,style_filter,"min_warmth=0.6,min_saturation=0.45",10,PzytfAmbOQM,0.2726874924126305,0.25109801740553644,0.3529054542962826,0.6653363364989233
beach sunset,rerank,style_rerank,10,ZGpi37nNzOY,0.43120007822226325,0.41085148506307734,0.4219610946649632,0.6666304049463686
