query_group,mode,query_mode_count,precision_at_10,avg_relevance,dcg_at_10,ndcg_at_10,mrr_at_10
combined,qdrant_keyword_primary,4,1.0,1.875,12.746170369948132,0.9883751296175716,1.0
combined,qdrant_keyword_secondary,3,1.0,1.5999999999999999,10.67084369602776,0.9574265483427101,1.0
combined,qdrant_rerank,1,1.0,2.0,13.630678014265037,1.0,1.0
combined,qdrant_semantic,4,1.0,1.75,11.882529136413233,0.983272014565024,1.0
object_like,qdrant_keyword,4,1.0,1.775,11.639251321353246,0.9479102695473655,1.0
object_like,qdrant_semantic,4,0.875,1.575,10.566721479587573,0.9140316046182055,1.0
style_semantic,qdrant_rerank,4,1.0,1.625,10.387464128388848,0.9190486693824325,1.0
style_semantic,qdrant_semantic,4,1.0,1.7,10.301292504577031,0.8735683660053599,1.0
