query,visualization
warm cinematic landscape,visualizations/text_warm_cinematic_landscape.jpg
dark moody forest,visualizations/text_dark_moody_forest.jpg
cold snowy mountain,visualizations/text_cold_snowy_mountain.jpg
bright tropical beach,visualizations/text_bright_tropical_beach.jpg
minimal street photography,visualizations/text_minimal_street_photography.jpg
